datetime,cfs,cmd,mmd,siteLs,sitecmd,sitemmd,year,month,day
3/10/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,3,10
3/11/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,3,11
3/12/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,3,12
3/13/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,3,13
3/14/06,1.63,3987.911578,4.63E-01,2.596376,224.3268864,0.246116087,2006,3,14
3/15/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,3,15
3/16/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,3,16
3/17/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,3,17
3/18/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,3,18
3/19/06,1.36,3327.337267,3.86E-01,2.287172,197.6116608,0.216805972,2006,3,19
3/20/06,1.36,3327.337267,3.86E-01,2.287172,197.6116608,0.216805972,2006,3,20
3/21/06,1.36,3327.337267,3.86E-01,2.287172,197.6116608,0.216805972,2006,3,21
3/22/06,1.36,3327.337267,3.86E-01,2.287172,197.6116608,0.216805972,2006,3,22
3/23/06,1.36,3327.337267,3.86E-01,2.287172,197.6116608,0.216805972,2006,3,23
3/24/06,1.3,3180.542976,3.69E-01,2.21846,191.674944,0.210292613,2006,3,24
3/25/06,1.26,3082.680115,3.58E-01,2.172652,187.7171328,0.205950374,2006,3,25
3/26/06,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2006,3,26
3/27/06,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2006,3,27
3/28/06,1.31,3205.008691,3.72E-01,2.229912,192.6643968,0.211378173,2006,3,28
3/29/06,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2006,3,29
3/30/06,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2006,3,30
3/31/06,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2006,3,31
4/1/06,1.28,3131.611546,3.64E-01,2.195556,189.6960384,0.208121493,2006,4,1
4/2/06,1.25,3058.2144,3.55E-01,2.1612,186.72768,0.204864814,2006,4,2
4/3/06,9.21,22532.9237,2.62E+00,11.276992,974.3321088,1.068970419,2006,4,3
4/4/06,3.79,9272.506061,1.08E+00,5.070008,438.0486912,0.480597004,2006,4,4
4/5/06,1.65,4036.843008,4.69E-01,2.61928,226.305792,0.248287206,2006,4,5
4/6/06,1.43,3498.597274,4.06E-01,2.367336,204.5378304,0.224404891,2006,4,6
4/7/06,2.09,5113.334477,5.94E-01,3.123168,269.8417152,0.296051838,2006,4,7
4/8/06,19,46484.85888,5.40E+00,22.4885,1943.0064,2.131733468,2006,4,8
4/9/06,2.64,6458.948813,7.50E-01,3.753028,324.2616192,0.355757627,2006,4,9
4/10/06,1.63,3987.911578,4.63E-01,2.596376,224.3268864,0.246116087,2006,4,10
4/11/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,4,11
4/12/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,4,12
4/13/06,1.4,3425.200128,3.98E-01,2.33298,201.569472,0.221148211,2006,4,13
4/14/06,1.28,3131.611546,3.64E-01,2.195556,189.6960384,0.208121493,2006,4,14
4/15/06,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2006,4,15
4/16/06,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2006,4,16
4/17/06,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2006,4,17
4/18/06,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2006,4,18
4/19/06,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2006,4,19
4/20/06,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2006,4,20
4/21/06,1.76,4305.965875,5.00E-01,2.745252,237.1897728,0.260228364,2006,4,21
4/22/06,34,83183.43168,9.66E+00,39.6665,3427.1856,3.760073175,2006,4,22
4/23/06,10.8,26422.97242,3.07E+00,13.09786,1131.655104,1.241574428,2006,4,23
4/24/06,3.22,7877.960294,9.15E-01,4.417244,381.6498816,0.418720096,2006,4,24
4/25/06,2.21,5406.923059,6.28E-01,3.260592,281.7151488,0.309078555,2006,4,25
4/26/06,2.63,6434.483098,7.47E-01,3.741576,323.2721664,0.354672067,2006,4,26
4/27/06,1.84,4501.691597,5.23E-01,2.836868,245.1053952,0.268912843,2006,4,27
4/28/06,1.8,4403.828736,5.11E-01,2.79106,241.147584,0.264570603,2006,4,28
4/29/06,1.6,3914.514432,4.55E-01,2.56202,221.358528,0.242859407,2006,4,29
4/30/06,1.46,3571.994419,4.15E-01,2.401692,207.5061888,0.22766157,2006,4,30
5/1/06,1.36,3327.337267,3.86E-01,2.287172,197.6116608,0.216805972,2006,5,1
5/2/06,1.36,3327.337267,3.86E-01,2.287172,197.6116608,0.216805972,2006,5,2
5/3/06,1.36,3327.337267,3.86E-01,2.287172,197.6116608,0.216805972,2006,5,3
5/4/06,1.28,3131.611546,3.64E-01,2.195556,189.6960384,0.208121493,2006,5,4
5/5/06,1.13,2764.625818,3.21E-01,2.023776,174.8542464,0.191838096,2006,5,5
5/6/06,0.99,2422.105805,2.81E-01,1.863448,161.0019072,0.176640259,2006,5,6
5/7/06,0.97,2373.174374,2.76E-01,1.840544,159.0230016,0.17446914,2006,5,7
5/8/06,1.19,2911.420109,3.38E-01,2.092488,180.7909632,0.198351455,2006,5,8
5/9/06,1.01,2471.037235,2.87E-01,1.886352,162.9808128,0.178811379,2006,5,9
5/10/06,0.9,2201.914368,2.56E-01,1.76038,152.096832,0.166870221,2006,5,10
5/11/06,23.4,57249.77357,6.65E+00,27.52738,2378.365632,2.609379782,2006,5,11
5/12/06,7.5,18349.2864,2.13E+00,9.3187,805.13568,0.883339692,2006,5,12
5/13/06,2.34,5724.977357,6.65E-01,3.409468,294.5780352,0.323190833,2006,5,13
5/14/06,1.62,3963.445862,4.60E-01,2.584924,223.3374336,0.245030527,2006,5,14
5/15/06,11.6,28380.22963,3.30E+00,14.01402,1210.811328,1.328419212,2006,5,15
5/16/06,2.55,6238.757376,7.25E-01,3.64996,315.356544,0.345987589,2006,5,16
5/17/06,1.8,4403.828736,5.11E-01,2.79106,241.147584,0.264570603,2006,5,17
5/18/06,3.38,8269.411738,9.60E-01,4.600476,397.4811264,0.436089052,2006,5,18
5/19/06,2.26,5529.251635,6.42E-01,3.317852,286.6624128,0.314506354,2006,5,19
5/20/06,1.53,3743.254426,4.35E-01,2.481856,214.4323584,0.235260489,2006,5,20
5/21/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,5,21
5/22/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,5,22
5/23/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,5,23
5/24/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,5,24
5/25/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,5,25
5/26/06,1.38,3376.268698,3.92E-01,2.310076,199.5905664,0.218977092,2006,5,26
5/27/06,1.36,3327.337267,3.86E-01,2.287172,197.6116608,0.216805972,2006,5,27
5/28/06,1.25,3058.2144,3.55E-01,2.1612,186.72768,0.204864814,2006,5,28
5/29/06,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2006,5,29
5/30/06,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2006,5,30
5/31/06,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2006,5,31
6/1/06,3.6,8807.657472,1.02E+00,4.85242,419.249088,0.459971368,2006,6,1
6/2/06,8.62,21089.4465,2.45E+00,10.601324,915.9543936,1.00492239,2006,6,2
6/3/06,12.6,30826.80115,3.58E+00,15.15922,1309.756608,1.436975193,2006,6,3
6/4/06,1.35,3302.871552,3.84E-01,2.27572,196.622208,0.215720412,2006,6,4
6/5/06,0.92,2250.845798,2.61E-01,1.783284,154.0757376,0.16904134,2006,6,5
6/6/06,0.76,1859.394355,2.16E-01,1.600052,138.2444928,0.151672384,2006,6,6
6/7/06,0.69,1688.134349,1.96E-01,1.519888,131.3183232,0.144073465,2006,6,7
6/8/06,3.26,7975.823155,9.26E-01,4.463052,385.6076928,0.423062335,2006,6,8
6/9/06,2.03,4966.540186,5.77E-01,3.054456,263.9049984,0.289538479,2006,6,9
6/10/06,0.95,2324.242944,2.70E-01,1.81764,157.044096,0.17229802,2006,6,10
6/11/06,0.69,1688.134349,1.96E-01,1.519888,131.3183232,0.144073465,2006,6,11
6/12/06,1.97,4819.745894,5.60E-01,2.985744,257.9682816,0.28302512,2006,6,12
6/13/06,0.7,1712.600064,1.99E-01,1.53134,132.307776,0.145159025,2006,6,13
6/14/06,1.36,3327.337267,3.86E-01,2.287172,197.6116608,0.216805972,2006,6,14
6/15/06,1.28,3131.611546,3.64E-01,2.195556,189.6960384,0.208121493,2006,6,15
6/16/06,0.44,1076.491469,1.25E-01,1.233588,106.5820032,0.11693447,2006,6,16
6/17/06,0.34,831.8343168,9.66E-02,1.119068,96.6874752,0.106078872,2006,6,17
6/18/06,0.43,1052.025754,1.22E-01,1.222136,105.5925504,0.11584891,2006,6,18
6/19/06,1.86,4550.623027,5.28E-01,2.859772,247.0843008,0.271083962,2006,6,19
